1,systemd,root,e6168f67d1e4b4e11eed1ccacb94dcae19cf0a06b8f5ab1cc67dc9f519d3b5d1,signed,1,0,/sbin/init splash,/sbin/init,False,,,,,,,,,,,False,BENIGN,HIGH,SHA-256 e6168f67d1e4b4e11eed1ccacb94dcae19cf0a06b8f5ab1cc67dc9f519d3b5d1 returned no hits across VirusTotal or MalwareBazaar. No known malicious associations found in public threat intelligence sources. The binary is signed and launched via the canonical init path.,"systemd (PID 1) is the standard Linux init process, launched as '/sbin/init splash' by the bootloader. It runs as root, carries a valid code signature, has no network connections, and is not an orphan. PID 1 is the expected anchor of the entire process tree. No behavioral or TI indicators of compromise."
2,kthreadd,root,,unknown,1,0,,,False,,,,,,,,,,,False,BENIGN,HIGH,"No hash available for TI lookup — expected for kernel threads, which reside entirely in kernel memory and have no on-disk binary to hash. No threat intelligence associations found for this process name or PID context.","kthreadd (PID 2) is the Linux kernel thread daemon responsible for spawning all other kernel threads. It is a well-documented, essential kernel-space process with no user-space binary, no command line, no network activity, and no orphan connection. Fully consistent with normal Linux boot behavior."
3,pool_workqueue_release,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. pool_workqueue_release is a recognized internal Linux kernel workqueue management thread introduced in modern kernel versions.,"pool_workqueue_release (PID 3) is a legitimate Linux kernel thread responsible for releasing workqueue pool resources. It runs in kernel space under root, has no command line, no network connections, and no orphan activity. Consistent with standard kernel workqueue subsystem behavior."
4,kworker/R-rcu_gp,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/R-rcu_gp is a well-known Linux kernel worker thread tied to RCU (Read-Copy-Update) grace period processing.,"kworker/R-rcu_gp (PID 4) is a standard Linux kernel worker thread handling RCU grace period callbacks. It is spawned by kthreadd, runs entirely in kernel space, has no network activity, no command line, and no orphan connections. Fully expected on any modern Linux system."
5,kworker/R-sync_wq,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/R-sync_wq is a recognized Linux kernel worker thread associated with synchronization workqueue operations.,"kworker/R-sync_wq (PID 5) is a legitimate Linux kernel worker thread handling synchronization-related deferred work. Spawned by kthreadd, it operates entirely in kernel space with no network connections, no command line, and no orphan activity. Normal kernel workqueue subsystem behavior."
6,kworker/R-kvfree_rcu_reclaim,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/R-kvfree_rcu_reclaim is a known Linux kernel thread responsible for kvfree RCU memory reclamation.,"kworker/R-kvfree_rcu_reclaim (PID 6) is a standard Linux kernel worker thread managing deferred kvfree RCU memory reclamation tasks. It runs in kernel space under root, has no network connections, no command line, and no orphan activity. Entirely consistent with normal kernel memory management."
7,kworker/R-slub_flushwq,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/R-slub_flushwq is a recognized Linux kernel worker thread tied to the SLUB allocator's flush workqueue.,"kworker/R-slub_flushwq (PID 7) is a legitimate Linux kernel worker thread servicing SLUB slab allocator flush operations. It runs in kernel space under root with no network connections, no command line, and no orphan activity. Normal and expected kernel slab management behavior."
8,kworker/R-netns,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/R-netns is a well-known Linux kernel worker thread responsible for network namespace cleanup and management tasks.,"kworker/R-netns (PID 8) is a standard Linux kernel worker thread handling network namespace lifecycle operations. It runs in kernel space under root with no active network connections, no command line, and no orphan activity. Fully expected behavior on any Linux system using network namespaces."
11,kworker/0:0H-events_highpri,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,"No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/0:0H-events_highpri is a well-documented Linux kernel high-priority worker thread bound to CPU 0, part of the concurrency-managed workqueue (cmwq) framework.","kworker/0:0H-events_highpri (PID 11) is a legitimate Linux kernel high-priority worker thread on CPU 0, used for time-sensitive deferred kernel work. It runs in kernel space under root with no network connections, no command line, and no orphan activity. Standard cmwq subsystem behavior."
13,kworker/R-mm_percpu_wq,root,,unknown,1,2,,,False,,,,,,,,,,,False,BENIGN,HIGH,No hash available — kernel thread with no on-disk binary. No threat intelligence associations found. kworker/R-mm_percpu_wq is a recognized Linux kernel worker thread associated with per-CPU memory management workqueue operations.,"kworker/R-mm_percpu_wq (PID 13) is a standard Linux kernel worker thread handling per-CPU memory management deferred work. It runs in kernel space under root with no network connections, no command line, and no orphan activity. Entirely consistent with normal Linux memory subsystem behavior."
